Date,Type,Link
2023-12-07 21:38:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7138585477531541504
2023-12-07 15:15:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7138540194567266304?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7138540194567266304%2C7138545417893416960%29
2023-12-07 15:03:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7138540194567266304
2023-12-06 20:40:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7138263642491248640
2023-12-06 14:14:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7138120389188018177
2023-12-01 16:35:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7136378863718158336
2023-11-29 14:20:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7135627159833845760
2023-11-28 10:08:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7135206174668263424
2023-11-24 18:54:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7133771866346766337
2023-11-21 09:49:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7131265145187528706
2023-11-09 14:54:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7128380101892702209
2023-11-09 05:44:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7128048720041979905
2023-11-09 05:30:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7128118759797493761
2023-11-08 10:30:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7127942840583622656
2023-11-06 10:46:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7127218907135774720
2023-10-28 16:30:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7124054206960791552
2023-10-21 08:03:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7121108755743735808
2023-10-19 15:11:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7120763534820421633
2023-10-18 20:28:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7120504562150473728
2023-10-18 15:45:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7120408187270254592
2023-10-16 15:26:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7119704228037627906
2023-10-15 20:57:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AarticleSegment%3A%28urn%3Ali%3AlinkedInArticle%3A7112876962871746560%2C7112876964763365376%29?commentUrn=urn%3Ali%3Acomment%3A%28articleSegment%3A%28urn%3Ali%3AlinkedInArticle%3A7112876962871746560%2C7112876964763365376%29%2C7119426094130163712%29
2023-10-14 11:58:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AarticleSegment%3A%28urn%3Ali%3AlinkedInArticle%3A7112509514091827200%2C7112509515568185344%29?commentUrn=urn%3Ali%3Acomment%3A%28articleSegment%3A%28urn%3Ali%3AlinkedInArticle%3A7112509514091827200%2C7112509515568185344%29%2C7118928126390218753%29
2023-10-13 18:17:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7118522090869178368
2023-10-11 16:59:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7117914227113107456
2023-10-10 09:45:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AarticleSegment%3A%28urn%3Ali%3AlinkedInArticle%3A7112511451872858113%2C7112511453693186048%29?commentUrn=urn%3Ali%3Acomment%3A%28articleSegment%3A%28urn%3Ali%3AlinkedInArticle%3A7112511451872858113%2C7112511453693186048%29%2C7116379577072943104%29
2023-10-09 14:41:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7117151229943627776
2023-10-08 19:20:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7116863693132296192
2023-10-08 13:07:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7116754484126470144
2023-10-08 13:06:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AarticleSegment%3A%28urn%3Ali%3AlinkedInArticle%3A7113595033202663424%2C7113595035064897536%29?commentUrn=urn%3Ali%3Acomment%3A%28articleSegment%3A%28urn%3Ali%3AlinkedInArticle%3A7113595033202663424%2C7113595035064897536%29%2C7116769705314373632%29
2023-10-08 12:24:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AarticleSegment%3A%28urn%3Ali%3AlinkedInArticle%3A7113592218627489792%2C7113592220682735616%29?commentUrn=urn%3Ali%3Acomment%3A%28articleSegment%3A%28urn%3Ali%3AlinkedInArticle%3A7113592218627489792%2C7113592220682735616%29%2C7116759828961587200%29
2023-10-08 10:22:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AarticleSegment%3A%28urn%3Ali%3AlinkedInArticle%3A7111040793330520065%2C7111040794966335489%29?commentUrn=urn%3Ali%3Acomment%3A%28articleSegment%3A%28urn%3Ali%3AlinkedInArticle%3A7111040793330520065%2C7111040794966335489%29%2C7116729650776551424%29
2023-10-08 09:40:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AarticleSegment%3A%28urn%3Ali%3AlinkedInArticle%3A7113336865541296128%2C7113336867038662656%29?commentUrn=urn%3Ali%3Acomment%3A%28articleSegment%3A%28urn%3Ali%3AlinkedInArticle%3A7113336865541296128%2C7113336867038662656%29%2C7116718695183208449%29
