Action,Date,Ad Title/Id,Page/App
Impression,2025/04/17,556144544,dailymail.co.uk
Impression,2025/04/17,630500744,dailymail.co.uk
Impression,2025/04/17,645003474,dailymail.co.uk
Impression,2025/04/17,645027464,dailymail.co.uk
Impression,2025/04/17,645041604,dailymail.co.uk
Impression,2025/04/17,647741884,hindustantimes.com
Impression,2025/04/17,647769834,dailymail.co.uk
Impression,2025/04/17,661437263,dailymail.co.uk
Impression,2025/04/17,661446753,dailymail.co.uk
Impression,2025/04/17,661454243,dailymail.co.uk
Impression,2025/04/17,661463383,dailymail.co.uk
Impression,2025/04/17,661503973,dailymail.co.uk
Impression,2025/04/18,647677294,harpersbazaar.com
Impression,2025/04/18,661426503,harpersbazaar.com
Impression,2025/04/18,662250553,harpersbazaar.com
Impression,2025/04/18,662833033,harpersbazaar.com
Impression,2025/04/19,646436903,espncricinfo.com
Impression,2025/04/19,663431883,espncricinfo.com
Impression,2025/04/21,630281764,bbc.com
Impression,2025/04/23,630207044,express.co.uk
Impression,2025/04/25,253248103,bbc.com
Impression,2025/04/25,550041644,scribd.com
Impression,2025/04/25,630207044,espncricinfo.com
Impression,2025/04/25,630458934,bbc.com
Impression,2025/04/25,645048714,bbc.com
Impression,2025/04/25,645065024,bbc.com
Impression,2025/04/25,647802894,bbc.com
Impression,2025/04/25,653950134,bbc.com
Impression,2025/04/25,661418543,dailymail.co.uk
Impression,2025/04/25,661435193,bbc.com
Impression,2025/04/25,661437263,dailymail.co.uk
Impression,2025/04/25,661455573,scribd.com
Impression,2025/04/25,661456063,bbc.com
Impression,2025/04/25,661456063,dailymail.co.uk
Impression,2025/04/25,661474433,bbc.com
Impression,2025/04/25,661484653,bbc.com
Impression,2025/04/25,663016793,bbc.com
Impression,2025/04/25,670860716,scribd.com
Impression,2025/04/28,623823494,msn.com
Impression,2025/04/28,647253904,msn.com
Impression,2025/04/30,661447973,espncricinfo.com
Impression,2025/04/30,665735663,espncricinfo.com
Impression,2025/05/01,645007364,espncricinfo.com
Impression,2025/05/01,677683993,espncricinfo.com
Impression,2025/05/04,630458934,espncricinfo.com
Impression,2025/05/09,550052144,espncricinfo.com
Impression,2025/05/09,615809586,espncricinfo.com
Impression,2025/05/09,653997494,espncricinfo.com
Impression,2025/05/09,661446753,espncricinfo.com
Impression,2025/05/09,661447253,espncricinfo.com
Impression,2025/05/09,661456963,espncricinfo.com
Impression,2025/05/09,661939533,espncricinfo.com
Impression,2025/05/20,647253904,espncricinfo.com
Impression,2025/05/20,676313864,espncricinfo.com
Impression,2025/05/26,663083513,espncricinfo.com
Impression,2025/05/27,558454853,ndtv.com
Impression,2025/05/27,561442024,espncricinfo.com
Impression,2025/05/27,561442024,ndtv.com
Impression,2025/05/27,583725163,ndtv.com
Impression,2025/05/27,630466634,ndtv.com
Impression,2025/05/27,640394334,espncricinfo.com
Impression,2025/05/27,647253904,espncricinfo.com
Impression,2025/05/27,647253904,ndtv.com
Impression,2025/05/27,650174193,espncricinfo.com
Impression,2025/05/27,650174193,ndtv.com
Impression,2025/05/27,661019214,ndtv.com
Impression,2025/05/27,661418543,ndtv.com
Impression,2025/05/27,661435193,ndtv.com
